Party,Preliminary,Final,Abs diff,Difference,% to Prelim,% to Final
Alliansen,224,223,1,-1,0.446428571428571,0.448430493273543
Arbeiderpartiet,30537,30522,15,-15,0.049120738775911,0.049144879103597
Demokratene,780,784,4,4,0.512820512820513,0.510204081632653
Feministisk Initiativ,260,270,10,10,3.84615384615385,3.7037037037037
Folkeaksjonen Nei til mer bompenger,9847,9861,14,14,0.142175281811719,0.141973430686543
Fremskrittspartiet,8670,8680,10,10,0.115340253748558,0.115207373271889
Helsepartiet,363,364,1,1,0.275482093663912,0.274725274725275
Høyre,37178,37213,35,35,0.094141696702351,0.094053153467874
Kristelig Folkeparti,2413,2405,8,-8,0.331537505180273,0.332640332640333
Kystpartiet,48,50,2,2,4.16666666666667,4
Liberalistene,359,355,4,-4,1.1142061281337,1.12676056338028
Miljøpartiet De Grønne,26407,26431,24,24,0.090884992615594,0.090802466800348
Norges Kommunistiske Parti,103,101,2,-2,1.94174757281553,1.98019801980198
Partiet De Kristne,241,242,1,1,0.4149377593361,0.413223140495868
Pensjonistpartiet,1204,1199,5,-5,0.415282392026578,0.417014178482068
Piratpartiet,223,228,5,5,2.24215246636771,2.19298245614035
Rødt,12460,12455,5,-5,0.040128410914928,0.040144520272983
Selvstendighetspartiet,111,113,2,2,1.8018018018018,1.76991150442478
Senterpartiet,3060,3071,11,11,0.359477124183006,0.358189514816021
SV - Sosialistisk Venstreparti,13967,13980,13,13,0.093076537552803,0.092989985693848
Venstre,6862,6866,4,4,0.058292043136112,0.058258083309059
,155317,155413,176,,0.883421637896962,0.867169388386809
