Party,Preliminary,Final,Abs diff,Difference,% to Prelim,% to Final
Alliansen,174,175,1,1,0.574712643678161,0.571428571428571
Arbeiderpartiet,42568,42600,32,32,0.075173839503853,0.075117370892019
Demokratene,186,184,2,-2,1.0752688172043,1.08695652173913
Feministisk Initiativ,306,309,3,3,0.980392156862745,0.970873786407767
Folkeaksjonen Nei til mer bompenger,11476,11485,9,9,0.078424538166609,0.078363082281236
Fremskrittspartiet,10577,10592,15,15,0.141817150420724,0.141616314199396
Helsepartiet,486,485,1,-1,0.205761316872428,0.206185567010309
Høyre,55570,55620,50,50,0.089976606082419,0.089895720963682
Kristelig Folkeparti,3960,3941,19,-19,0.47979797979798,0.482111139304745
Kystpartiet,109,109,0,0,0,0
Liberalistene,448,457,9,9,2.00892857142857,1.96936542669584
Miljøpartiet De Grønne,29334,29341,7,7,0.023863094020591,0.023857400906581
Norges Kommunistiske Parti,163,164,1,1,0.613496932515337,0.609756097560976
Partiet De Kristne,369,369,0,0,0,0
Pensjonistpartiet,1021,1020,1,-1,0.09794319294809,0.098039215686275
Piratpartiet,465,465,0,0,0,0
Rødt,13840,13847,7,7,0.050578034682081,0.050552466238174
Selvstendighetspartiet,458,460,2,2,0.436681222707424,0.434782608695652
Senterpartiet,4898,4909,11,11,0.224581461821151,0.224078223670809
SV - Sosialistisk Venstreparti,19274,19278,4,4,0.02075334647712,0.020749040356884
Venstre,14221,14244,23,23,0.161732648899515,0.16147149677057
,209903,210054,197,,0.349518264480433,0.347390478609934
