Party,Preliminary,Final,Abs diff,Difference,% to Prelim,% to Final
Venstre,1870,1894,24,24,1.28342245989305,1.26715945089757
Piratpartiet,75,78,3,3,4,3.84615384615385
Helsepartiet,174,180,6,6,3.44827586206897,3.33333333333333
Fremskrittspartiet,3683,3688,5,5,0.13575889220744,0.135574837310195
Miljøpartiet De Grønne,6326,6364,38,38,0.600695542206766,0.59710873664362
Folkeaksjonen Nei til mer bompenger,8899,8908,9,9,0.101134958984156,0.101032779524023
Senterpartiet,3732,3753,21,21,0.562700964630225,0.559552358113509
Rødt,2991,2892,99,-99,3.3099297893681,3.42323651452282
Partiet De Kristne,380,455,75,75,19.7368421052632,16.4835164835165
Norges Kommunistiske Parti,56,56,0,0,0,0
Demokratene,220,219,1,-1,0.454545454545455,0.45662100456621
SV - Sosialistisk Venstreparti,5297,5310,13,13,0.245421936945441,0.244821092278719
Arbeiderpartiet,12030,12117,87,87,0.723192019950125,0.717999504827928
Liberalistene,108,110,2,2,1.85185185185185,1.81818181818182
Pensjonistpartiet,1228,1183,45,-45,3.66449511400651,3.80388841927303
Kristelig Folkeparti,1836,1810,26,-26,1.4161220043573,1.43646408839779
Høyre,12087,12311,224,224,1.8532307437743,1.81951100641703
,60992,61328,678,,2.55221292353252,2.35553854552694
